"beertype","meal","beer_description","photourl","meal_photourl"
"Amber Ale","Піца","Amber Ale ідеально підходить для багатьох страв. У нього гладкий, солодовий смак з нотками карамелі та легкою гіркотою у післясмаку.","../src/amber ale.png","../src/піца.svg"
"Amber Ale","Барбекю Зі Свининою","Amber Ale ідеально підходить для багатьох страв. У нього гладкий, солодовий смак з нотками карамелі та легкою гіркотою у післясмаку.","../src/amber ale.png","../src/барбекю_зі_свинини.png"
"Amber Ale","Курячі Джерки","Amber Ale ідеально підходить для багатьох страв. У нього гладкий, солодовий смак з нотками карамелі та легкою гіркотою у післясмаку.","../src/amber ale.png","../src/курячі джерки.png"
"Amber Ale","Грудинка","Amber Ale ідеально підходить для багатьох страв. У нього гладкий, солодовий смак з нотками карамелі та легкою гіркотою у післясмаку.","../src/amber ale.png","../src/грудинка.png"
"Amber Ale","Смажена Їжа","Amber Ale ідеально підходить для багатьох страв. У нього гладкий, солодовий смак з нотками карамелі та легкою гіркотою у післясмаку.","../src/amber ale.png","../src/смажена_їжа.webp"
"Amber Ale","Копчена Свинина","Amber Ale ідеально підходить для багатьох страв. У нього гладкий, солодовий смак з нотками карамелі та легкою гіркотою у післясмаку.","../src/amber ale.png","../src/копчена_свинина.png"
"Brown Ale","Ковбаски","Brown Ale має горіховий, запашний смак з нотками солодкості. Воно ідеально поєднується зі смаженим мясом, барбекю та гострими стравами.","../src/brown_ale.png","../src/ковбаски.png"
"Brown Ale","Смажена Свинина","Brown Ale має горіховий, запашний смак з нотками солодкості. Воно ідеально поєднується зі смаженим мясом, барбекю та гострими стравами.","../src/brown_ale.png","../src/смажена_свинина.png"
"Brown Ale","Bbq","Brown Ale має горіховий, запашний смак з нотками солодкості. Воно ідеально поєднується зі смаженим мясом, барбекю та гострими стравами.","../src/brown_ale.png","../src/bbq.png"
"Brown Ale","Суші","Brown Ale має горіховий, запашний смак з нотками солодкості. Воно ідеально поєднується зі смаженим мясом, барбекю та гострими стравами.","../src/brown_ale.png","../src/суші.png"
"Brown Ale","Риби","Brown Ale має горіховий, запашний смак з нотками солодкості. Воно ідеально поєднується зі смаженим мясом, барбекю та гострими стравами.","../src/brown_ale.png","../src/риба.png"
"Dark Lager","Піца","Dark Lager має насичений солодовий смак з нотками шоколаду та легкою гіркотою у післясмаку. Воно ідеально підходить для ситних страв, таких як рагу, печеня, та ковбаски.","../src/dark_lager.png","../src/піца.png"
"Dark Lager","Ковбаски","Dark Lager має насичений солодовий смак з нотками шоколаду та легкою гіркотою у післясмаку. Воно ідеально підходить для ситних страв, таких як рагу, печеня, та ковбаски.","../src/dark_lager.png","../src/ковбаски.png"
"Dark Lager","Гуляш","Dark Lager має насичений солодовий смак з нотками шоколаду та легкою гіркотою у післясмаку. Воно ідеально підходить для ситних страв, таких як рагу, печеня, та ковбаски.","../src/dark_lager.png","../src/гуляш.png"
"Dark Lager","Бангери І Пюре","Dark Lager має насичений солодовий смак з нотками шоколаду та легкою гіркотою у післясмаку. Воно ідеально підходить для ситних страв, таких як рагу, печеня, та ковбаски.","../src/dark_lager.png","../src/Бангери_і_Пюре.webp"
"Dark Lager","Бургер","Dark Lager має насичений солодовий смак з нотками шоколаду та легкою гіркотою у післясмаку. Воно ідеально підходить для ситних страв, таких як рагу, печеня, та ковбаски.","../src/dark_lager.png","../src/бургер.png"
"Dark Lager","Тушковані Сердечка","Dark Lager має насичений солодовий смак з нотками шоколаду та легкою гіркотою у післясмаку. Воно ідеально підходить для ситних страв, таких як рагу, печеня, та ковбаски.","../src/dark_lager.png","../src/Тушковані_Сердечка.webp"
"IPA","Стейк","IPA має сміливий, хмільний смак з нотами цитрусу та хвої. Воно ідеально поєднується з гострими стравами, смаженим мясом та насиченими стравами з багатим смаком.","../src/ipa1.png","../src/стейк.png"
"IPA","Bbq","IPA має сміливий, хмільний смак з нотами цитрусу та хвої. Воно ідеально поєднується з гострими стравами, смаженим мясом та насиченими стравами з багатим смаком.","../src/ipa1.png","../src/bbq.png"
"IPA","Реберця","IPA має сміливий, хмільний смак з нотами цитрусу та хвої. Воно ідеально поєднується з гострими стравами, смаженим мясом та насиченими стравами з багатим смаком.","../src/ipa1.png","../src/реберця.png"
"IPA","Карі","IPA має сміливий, хмільний смак з нотами цитрусу та хвої. Воно ідеально поєднується з гострими стравами, смаженим мясом та насиченими стравами з багатим смаком.","../src/ipa1.png","../src/Карі.webp"
"IPA","Картопля Фрі","IPA має сміливий, хмільний смак з нотами цитрусу та хвої. Воно ідеально поєднується з гострими стравами, смаженим мясом та насиченими стравами з багатим смаком.","../src/ipa1.png","../src/картопля_фрі.webp"
"IPA","Буріто","IPA має сміливий, хмільний смак з нотами цитрусу та хвої. Воно ідеально поєднується з гострими стравами, смаженим мясом та насиченими стравами з багатим смаком.","../src/ipa1.png","../src/бурітос.png"
"IPA","Фахітас","IPA має сміливий, хмільний смак з нотами цитрусу та хвої. Воно ідеально поєднується з гострими стравами, смаженим мясом та насиченими стравами з багатим смаком.","../src/ipa1.png","../src/фахітас.png"
"IPA","Мексиканська Їжа","IPA має сміливий, хмільний смак з нотами цитрусу та хвої. Воно ідеально поєднується з гострими стравами, смаженим мясом та насиченими стравами з багатим смаком.","../src/ipa1.png","../src/мексиканська_їжа.webp"
"Light Lager","Гостра Їжа","Light Lager має свіжий, освіжаючий смак та ідеально підходить для багатьох страв, від гострих страв до салатів та сендвічів.","../src/ligth lager.png","../src/гостра_їжа.png"
"Light Lager","Гострі Курячі Крильця","Light Lager має свіжий, освіжаючий смак та ідеально підходить для багатьох страв, від гострих страв до салатів та сендвічів.","../src/ligth lager.png","../src/гострі_курячі_крильця.png"
"Light Lager","Картопля Фрі","Light Lager має свіжий, освіжаючий смак та ідеально підходить для багатьох страв, від гострих страв до салатів та сендвічів.","../src/ligth lager.png","../src/картопля_фрі.webp"
"Light Lager","Хот-Доги","Light Lager має свіжий, освіжаючий смак та ідеально підходить для багатьох страв, від гострих страв до салатів та сендвічів.","../src/ligth lager.png","../src/хотдог.png"
"Light Lager","Локшина","Light Lager має свіжий, освіжаючий смак та ідеально підходить для багатьох страв, від гострих страв до салатів та сендвічів.","../src/ligth lager.png","../src/локшина.png"
"Light Lager","Риба Смажена","Light Lager має свіжий, освіжаючий смак та ідеально підходить для багатьох страв, від гострих страв до салатів та сендвічів.","../src/ligth lager.png","../src/риба_смажена.png"
"Light Lager","Бургер","Light Lager має свіжий, освіжаючий смак та ідеально підходить для багатьох страв, від гострих страв до салатів та сендвічів.","../src/ligth lager.png","../src/бургер.png"
"Light Lager","Салати","Light Lager має свіжий, освіжаючий смак та ідеально підходить для багатьох страв, від гострих страв до салатів та сендвічів.","../src/ligth lager.png","../src/салат.png"
"Porter","Омар","Porter має глибокий, складний смак з нотками кави, шоколаду та смаженого солоду. Воно ідеально поєднується з насиченими, ситними стравами, такими як барбекю, мясо дичини та рагу.","../src/porter.png","../src/омар.png"
"Porter","Краб","Porter має глибокий, складний смак з нотками кави, шоколаду та смаженого солоду. Воно ідеально поєднується з насиченими, ситними стравами, такими як барбекю, мясо дичини та рагу.","../src/porter.png","../src/краб.webp"
"Porter","Мексиканський Крот","Porter має глибокий, складний смак з нотками кави, шоколаду та смаженого солоду. Воно ідеально поєднується з насиченими, ситними стравами, такими як барбекю, мясо дичини та рагу.","../src/porter.png","../src/мексиканський_крот.png"
"Porter","Барбекю","Porter має глибокий, складний смак з нотками кави, шоколаду та смаженого солоду. Воно ідеально поєднується з насиченими, ситними стравами, такими як барбекю, мясо дичини та рагу.","../src/porter.png","../src/барбекю_зі_свинини.png"
"Porter","Кролик","Porter має глибокий, складний смак з нотками кави, шоколаду та смаженого солоду. Воно ідеально поєднується з насиченими, ситними стравами, такими як барбекю, мясо дичини та рагу.","../src/porter.png","../src/кролик.png"
"Porter","Дичина","Porter має глибокий, складний смак з нотками кави, шоколаду та смаженого солоду. Воно ідеально поєднується з насиченими, ситними стравами, такими як барбекю, мясо дичини та рагу.","../src/porter.png","../src/дичина.png"
"Porter","Кавові Десерти","Porter має глибокий, складний смак з нотками кави, шоколаду та смаженого солоду. Воно ідеально поєднується з насиченими, ситними стравами, такими як барбекю, мясо дичини та рагу.","../src/porter.png","../src/десерти_зі_смаком_кави.png"
"Stout","Шоколадні Трюфелі","Stout має насичену, кремову текстуру та глибокий, смажений смак з нотками шоколаду та кави. Воно ідеально підходить для солодких десертів та ситних страв, таких як барбекю, мясо дичини та рагу.","../src/stout.png","../src/шорокладні_трюфелі.webp"
"Stout","Шоколадний Мус","Stout має насичену, кремову текстуру та глибокий, смажений смак з нотками шоколаду та кави. Воно ідеально підходить для солодких десертів та ситних страв, таких як барбекю, мясо дичини та рагу.","../src/stout.png","../src/шоколадний_мус.png"
"Stout","Омар","Stout має насичену, кремову текстуру та глибокий, смажений смак з нотками шоколаду та кави. Воно ідеально підходить для солодких десертів та ситних страв, таких як барбекю, мясо дичини та рагу.","../src/stout.png","../src/омар.png"
